league,matchid,inningsno,bowlingteam,bowlername,overs,maidens,runsconceded,wickets,econ
224,3942,1,AVM YODDHAS (ISDT 8.0),Kaustubh Gupte,4.0,0.0,37.0,3.0,9.25
224,3942,1,AVM YODDHAS (ISDT 8.0),Manavendra Mishra,4.0,0.0,17.0,1.0,4.25
224,3942,1,AVM YODDHAS (ISDT 8.0),Rishi Mapara,4.0,0.0,27.0,2.0,6.75
224,3942,1,AVM YODDHAS (ISDT 8.0),Vishal Pandey,4.0,0.0,26.0,0.0,6.5
224,3942,1,AVM YODDHAS (ISDT 8.0),Sivanandan Konar,2.0,0.0,16.0,0.0,8.0
224,3942,2,JBCN AVENGERS (ISDT 8.0),Rayed Merchant,3.0,0.0,29.0,0.0,9.67
224,3942,2,JBCN AVENGERS (ISDT 8.0),Kartik Kapoor,2.0,0.0,18.0,1.0,9.0
224,3942,2,JBCN AVENGERS (ISDT 8.0),Ribhu Dasgupta,1.0,0.0,6.0,0.0,6.0
224,3942,2,JBCN AVENGERS (ISDT 8.0),Sadiq Lashkaria,3.0,0.0,27.0,0.0,9.0
224,3942,2,JBCN AVENGERS (ISDT 8.0),Akhil Seth,3.1,0.0,27.0,1.0,8.53
224,3942,2,JBCN AVENGERS (ISDT 8.0),Muddassar Virani,2.0,0.0,23.0,1.0,11.5
224,3942,2,JBCN AVENGERS (ISDT 8.0),Deepan Mankad,2.0,0.0,17.0,0.0,8.5
224,3943,1,OIS TIGERS (ISDT 8.0),Nishant Shah,4.0,0.0,23.0,0.0,5.75
224,3943,1,OIS TIGERS (ISDT 8.0),Abhishek Dutt,3.0,0.0,28.0,0.0,9.33
224,3943,1,OIS TIGERS (ISDT 8.0),Nimit Parikh,4.0,0.0,24.0,1.0,6.0
224,3943,1,OIS TIGERS (ISDT 8.0),Sahil Shah,4.0,0.0,13.0,1.0,3.25
224,3943,1,OIS TIGERS (ISDT 8.0),Manav Gohil,4.0,0.0,24.0,4.0,6.0
224,3943,1,OIS TIGERS (ISDT 8.0),Arun Madhu,1.0,0.0,14.0,0.0,14.0
224,3943,2,JNS TOROS (ISDT 8.0),Shamin Karbhari,4.0,0.0,23.0,0.0,5.75
224,3943,2,JNS TOROS (ISDT 8.0),Seemab Khan,4.0,0.0,13.0,1.0,3.25
224,3943,2,JNS TOROS (ISDT 8.0),Keyur M Shah,2.0,0.0,15.0,0.0,7.5
224,3943,2,JNS TOROS (ISDT 8.0),Gurmeet Singh Ahuja,4.0,0.0,33.0,1.0,8.25
224,3943,2,JNS TOROS (ISDT 8.0),Sahil Parikh,1.0,0.0,13.0,0.0,13.0
224,3943,2,JNS TOROS (ISDT 8.0),Jimmy Shah,2.4,0.0,22.0,1.0,8.25
224,3943,2,JNS TOROS (ISDT 8.0),Divi Sisodia,1.0,0.0,11.0,0.0,11.0
224,3944,1,UTPAL WARRIORS (ISDT 8.0),Abhishek Sunny,4.0,1.0,23.0,1.0,5.75
224,3944,1,UTPAL WARRIORS (ISDT 8.0),Shailesh Maniya,3.0,0.0,18.0,0.0,6.0
224,3944,1,UTPAL WARRIORS (ISDT 8.0),Asgar Khan,4.0,0.0,9.0,2.0,2.25
224,3944,1,UTPAL WARRIORS (ISDT 8.0),Pratik Desai,4.0,0.0,15.0,2.0,3.75
224,3944,1,UTPAL WARRIORS (ISDT 8.0),Gautam Sheth,1.0,0.0,8.0,0.0,8.0
224,3944,1,UTPAL WARRIORS (ISDT 8.0),Virat Jain,4.0,0.0,8.0,2.0,2.0
224,3944,2,SCOTTISH STRIKING STARS (ISDT 8.0),Isaac Nazareth,4.0,0.0,32.0,1.0,8.0
224,3944,2,SCOTTISH STRIKING STARS (ISDT 8.0),Nishant Ranka,2.0,0.0,14.0,0.0,7.0
224,3944,2,SCOTTISH STRIKING STARS (ISDT 8.0),Himanshu Waingankar,2.0,0.0,13.0,0.0,6.5
224,3944,2,SCOTTISH STRIKING STARS (ISDT 8.0),Vinod Giri,3.0,0.0,11.0,1.0,3.67
224,3944,2,SCOTTISH STRIKING STARS (ISDT 8.0),Sunil Punjabi,1.0,0.0,8.0,0.0,8.0
224,3947,1,PETIT PANTHERS (ISDT 8.0),Sachin Deshpande,4.0,0.0,27.0,1.0,6.75
224,3947,1,PETIT PANTHERS (ISDT 8.0),Paarth Dholakia,1.0,0.0,19.0,0.0,19.0
